date	time	build	subject	blocknum	blockcode	trialnum	trialcode	response	correct	latency	stimulusitem1
121318	09:55	3.0.6.0	1	1	consenso	1	consenso	Disponibile a partecipare alla ricerca nei termini sopra indicati	1	27280	0
121318	09:55	3.0.6.0	1	2	fame	1	fame	0	1	7079	0
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	1	reminder	57	1	6361	Controlla le categorie - premi SPAZIO per cominciare
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	2	Builtlatteright	23	1	1199	latte4.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	4	Builtfondenteleft	18	1	661	fond5.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	6	Builtfondenteleft	18	1	641	fond3.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	8	Builtfondenteleft	18	1	648	fond6.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	10	Builtlatteright	23	1	577	latte7.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	12	Builtlatteright	23	1	549	latte5.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	14	Builtfondenteleft	18	1	682	fond2.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	16	Builtfondenteleft	18	1	712	fond4.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	18	Builtfondenteleft	18	1	567	fond7.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	20	Builtlatteright	23	1	497	latte3.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	22	Builtfondenteleft	18	1	538	fond7.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	24	Builtlatteright	23	1	551	latte2.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	26	Builtlatteright	23	1	757	latte6.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	28	Builtfondenteleft	18	1	524	fond4.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	30	Builtfondenteleft	18	1	526	fond5.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	32	Builtlatteright	23	1	455	latte4.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	34	Builtlatteright	23	1	585	latte6.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	36	Builtlatteright	23	1	533	latte2.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	38	Builtfondenteleft	18	1	503	fond6.jpg
121318	09:55	3.0.6.0	1	6	BuiltLatteFondente2nd	40	Builtlatteright	23	1	467	latte7.jpg
121318	09:55	3.0.6.0	1	8	Builtbadgood	1	reminder	57	1	2862	Controlla le categorie - premi SPAZIO per cominciare
121318	09:55	3.0.6.0	1	8	Builtbadgood	2	Builtbadleft	18	1	956	terribile
121318	09:55	3.0.6.0	1	8	Builtbadgood	4	Builtbadleft	18	1	599	cattivo
121318	09:55	3.0.6.0	1	8	Builtbadgood	6	Builtgoodright	23	1	551	piacere
121318	09:55	3.0.6.0	1	8	Builtbadgood	8	Builtbadleft	18	1	507	odio
121318	09:55	3.0.6.0	1	8	Builtbadgood	10	Builtgoodright	23	1	527	amore
121318	09:55	3.0.6.0	1	8	Builtbadgood	12	Builtbadleft	18	1	598	disastro
121318	09:55	3.0.6.0	1	8	Builtbadgood	14	Builtgoodright	23	1	533	ridere
121318	09:55	3.0.6.0	1	8	Builtbadgood	16	Builtbadleft	18	1	543	male
121318	09:55	3.0.6.0	1	8	Builtbadgood	18	Builtgoodright	23	1	739	gloria
121318	09:55	3.0.6.0	1	8	Builtbadgood	20	Builtbadleft	18	1	660	orribile
