"SES","Raven_Score"
"Alto",49
"Alto",53
"Alto",71
"Alto",56
"Alto",56
"Alto",72
"Alto",60
"Alto",42
"Alto",48
"Alto",51
"Alto",67
"Alto",59
"Alto",59
"Alto",56
"Alto",49
"Alto",73
"Alto",60
"Alto",35
"Alto",62
"Alto",50
"Alto",44
"Alto",53
"Alto",45
"Alto",48
"Alto",49
"Alto",38
"Alto",63
"Alto",57
"Alto",44
"Alto",68
"Alto",59
"Alto",52
"Alto",64
"Alto",64
"Alto",63
"Alto",62
"Basso",51
"Basso",44
"Basso",42
"Basso",41
"Basso",38
"Basso",43
"Basso",32
"Basso",67
"Basso",57
"Basso",34
"Basso",41
"Basso",40
"Basso",53
"Basso",44
"Basso",48
"Basso",45
"Basso",45
"Basso",59
"Basso",43
"Basso",60
"Basso",30
"Basso",51
"Basso",46
"Basso",47
"Basso",49
"Basso",40
"Basso",42
"Basso",35
"Basso",34
"Basso",48
"Basso",49
"Basso",46
"Basso",54
"Basso",66
"Basso",40
"Basso",22
