"corso","autostima","rendimento","intenzione_prima","intenzione_dopo"
"psicologia",16.94,5.81,"si","si"
"giurisprudenza",18.85,4.09,"no","no"
"economia",18.66,2.46,"si","si"
"giurisprudenza",9.96,1.35,"si","si"
"medicina",15.4,2.5,"si","no"
"psicologia",11.6,-0.01,"no","si"
"economia",19.81,5.36,"no","no"
"giurisprudenza",13.14,0.41,"no","no"
"economia",21.88,1.45,"si","si"
"economia",15.13,0.65,"no","no"
"medicina",21.26,4.68,"si","si"
"economia",11.75,0.82,"no","si"
"economia",10.7,1.4,"no","no"
"economia",33.21,3.19,"si","si"
"psicologia",10.92,0.41,"no","si"
"giurisprudenza",16.49,4.35,"no","no"
"psicologia",16.18,2.99,"no","no"
"psicologia",10.58,3.51,"no","si"
"psicologia",15.58,0.97,"no","no"
"medicina",17.84,4.8,"no","no"
"giurisprudenza",13.92,5.63,"no","no"
"economia",17.33,0.73,"si","si"
"economia",16.83,0.55,"si","si"
"medicina",26.64,1.65,"no","si"
"economia",13.29,0.82,"si","si"
"giurisprudenza",9.52,1.62,"no","no"
"economia",17.19,6.84,"no","no"
"economia",18.55,0.88,"no","no"
"psicologia",15.18,1.71,"no","no"
"psicologia",10.71,0.38,"no","si"
"medicina",10.68,1.07,"no","no"
"medicina",22.32,3.25,"no","no"
"economia",15.25,3.86,"no","no"
"giurisprudenza",10.67,0.15,"si","si"
"psicologia",11.82,0.83,"no","si"
"economia",16.01,2.1,"si","si"
"giurisprudenza",20.55,4.69,"no","no"
"psicologia",13.42,-0.5,"no","si"
"psicologia",16.77,5.09,"no","si"
"psicologia",10.5,0.11,"no","si"
"psicologia",14.07,1.02,"no","si"
"economia",15.38,3.75,"si","no"
"economia",17.47,5.08,"no","si"
"psicologia",8.52,0.34,"no","no"
"psicologia",6.45,0.09,"si","si"
"psicologia",22.99,0.97,"no","si"
"psicologia",16,1.51,"no","si"
"economia",10.74,0.55,"si","si"
"psicologia",9.94,0.99,"no","no"
"giurisprudenza",9.07,1.29,"si","si"
"psicologia",23.99,1.5,"no","no"
"economia",23.56,0.53,"si","si"
"giurisprudenza",13.67,2.87,"si","si"
"psicologia",15.72,2.84,"no","no"
"economia",14.93,0.36,"no","no"
"psicologia",10.62,0.66,"no","no"
"psicologia",9.06,0.19,"no","no"
"giurisprudenza",12.03,1.17,"no","no"
"giurisprudenza",23.25,2.74,"si","si"
"psicologia",12.73,0.66,"no","no"
"economia",17.6,-0.09,"no","si"
"psicologia",14.22,0.36,"si","si"
"psicologia",19.16,3.59,"no","si"
"psicologia",10.42,0.88,"si","si"
"giurisprudenza",10.04,0.47,"si","si"
"economia",25.38,1.74,"no","no"
"giurisprudenza",12.79,0.61,"no","si"
"giurisprudenza",11.38,1.56,"no","no"
"giurisprudenza",8.82,-0.27,"si","si"
"economia",10.58,-0.07,"no","no"
"giurisprudenza",12.13,13.25,"si","si"
"economia",20.09,1.85,"si","si"
"giurisprudenza",20.55,0.81,"no","no"
"psicologia",16.54,1.27,"si","no"
"economia",15.18,2.96,"no","si"
"psicologia",13.3,1.16,"no","no"
"psicologia",9.48,1.81,"no","no"
"economia",13.41,0.05,"si","si"
"psicologia",17.42,1.32,"si","si"
"psicologia",7.92,-0.44,"si","si"
"psicologia",22.78,4.45,"no","si"
"economia",16.55,0.4,"no","no"
"economia",18.07,0.72,"no","si"
"giurisprudenza",11.31,1.55,"no","no"
"psicologia",10.13,4.22,"si","si"
"economia",10.41,1.56,"si","si"
"medicina",15.09,2.35,"si","si"
"giurisprudenza",17.09,1.34,"no","no"
"giurisprudenza",16.62,0.66,"no","si"
"psicologia",9.09,0.6,"no","no"
"psicologia",9.06,0.04,"no","si"
"economia",14.49,1.94,"si","no"
"psicologia",20.48,3.22,"no","si"
"economia",11.31,0.24,"no","no"
"psicologia",12.1,2.11,"no","no"
"psicologia",22.51,4.94,"no","no"
"giurisprudenza",14.5,-0.04,"no","no"
"psicologia",6.2,1.32,"no","no"
"economia",13.68,10.75,"no","si"
"economia",19.43,0.87,"no","si"
"economia",15.12,2.63,"no","no"
"psicologia",10.19,10.38,"no","si"
"economia",15.28,3.62,"no","no"
"medicina",16.45,10.03,"no","no"
"economia",24.99,15.04,"no","si"
"giurisprudenza",14.56,-0.08,"no","si"
"medicina",21.4,1.05,"si","si"
"economia",20.15,0.8,"no","no"
"economia",16.43,1.01,"si","si"
"psicologia",5.34,1.02,"no","si"
"medicina",13.39,0.83,"no","no"
"psicologia",10.55,1.22,"no","no"
"psicologia",13.24,-0.41,"si","si"
"medicina",22.5,8.75,"no","si"
"giurisprudenza",26.47,0.86,"si","si"
"psicologia",20.74,3.21,"si","si"
"economia",16.33,1.01,"no","si"
"medicina",7.22,1.4,"no","no"
"economia",15.06,0.48,"no","si"
"economia",17.45,2.2,"no","no"
"economia",21.23,4.24,"si","si"
"psicologia",17.81,0.38,"no","si"
"psicologia",16.42,-0.03,"no","si"
"psicologia",6.02,9.78,"si","si"
"psicologia",17.25,1.54,"no","si"
"medicina",13.77,4.45,"no","no"
"psicologia",13.87,2.15,"no","si"
"psicologia",13.37,1.83,"si","si"
"psicologia",15.14,11.56,"si","si"
"economia",17.12,1.19,"si","si"
"economia",8.66,0.63,"no","no"
"giurisprudenza",18.68,0.81,"si","si"
"economia",18.93,0.36,"no","no"
"giurisprudenza",13.67,2.05,"no","no"
"economia",17.59,0.73,"si","no"
"economia",17.67,1.26,"si","si"
"giurisprudenza",16.11,1.11,"no","no"
"giurisprudenza",23.2,0.72,"si","si"
"medicina",14.9,1.39,"no","si"
"economia",17.84,0.55,"no","no"
"psicologia",18.84,-0.41,"no","no"
"economia",22.27,3.52,"no","no"
"psicologia",18.73,2.77,"no","no"
"psicologia",10.11,1.38,"si","si"
"giurisprudenza",25.01,4.64,"no","no"
"psicologia",13.33,-0.08,"si","si"
"psicologia",22.33,1.92,"no","no"
"psicologia",6.25,-0.12,"no","no"
"psicologia",13.1,2.88,"no","no"
"giurisprudenza",21.25,11.95,"no","si"
"giurisprudenza",11.42,1.54,"no","no"
"economia",13.24,0.42,"si","no"
"psicologia",8.31,0.65,"no","no"
"psicologia",7.74,0.93,"no","si"
"psicologia",10.81,2,"no","no"
"psicologia",14.66,0.47,"no","no"
"economia",6.93,0.65,"no","no"
"psicologia",14.06,0.2,"no","no"
"economia",23.18,1.8,"si","si"
"psicologia",23.19,1.08,"si","si"
"economia",23.51,2.83,"si","si"
"psicologia",16.78,-0.24,"no","no"
"economia",8.37,2.86,"no","no"
"psicologia",9.99,-0.29,"no","si"
"psicologia",11.24,2.31,"no","si"
"economia",20.52,0.68,"si","si"
"giurisprudenza",14.47,1.32,"no","si"
"psicologia",6.71,-0.74,"no","no"
"economia",25.42,1.02,"no","no"
"psicologia",17.56,6.81,"no","no"
"economia",18.19,0.12,"no","si"
"psicologia",19.09,1.94,"no","si"
"giurisprudenza",8.31,1.18,"no","no"
"giurisprudenza",18.3,1.83,"no","no"
"economia",14.39,0.72,"no","no"
"economia",20.42,5.01,"si","no"
"psicologia",12.7,0.89,"no","si"
"economia",20.16,0.67,"no","no"
"giurisprudenza",21.68,1.72,"si","si"
"economia",17.04,10.02,"no","si"
"giurisprudenza",20.09,0.93,"no","no"
"psicologia",7.06,-0.6,"si","si"
"giurisprudenza",11.39,1.19,"no","si"
"psicologia",20.6,2.24,"si","si"
"economia",18.89,0.37,"no","no"
"economia",6.74,-0.22,"si","si"
"psicologia",6.18,0.03,"no","no"
"economia",16,3.07,"no","si"
"medicina",20.33,3.07,"si","si"
"medicina",15.49,1.32,"no","no"
"psicologia",16.12,1.01,"no","si"
"psicologia",17.8,1.54,"no","no"
"medicina",24.36,2.08,"si","si"
"economia",17.28,1.92,"no","no"
"medicina",15.74,0.49,"no","si"
"economia",8.23,1.31,"no","no"
"economia",17.5,0.22,"no","no"
"economia",14.14,1.66,"no","no"
"psicologia",8.13,0.93,"no","no"
"economia",16.1,2.38,"si","si"
"psicologia",18.07,0.12,"no","no"
"medicina",6.04,-0.04,"no","no"
"economia",14.86,1.88,"no","no"
"economia",17.58,0.42,"no","si"
"economia",12.53,1.44,"no","si"
"giurisprudenza",16.67,-0.3,"no","no"
"psicologia",15.06,2.89,"no","no"
"psicologia",12.83,1.53,"no","si"
"psicologia",0.67,-0.19,"no","si"
"psicologia",25.86,3.75,"no","no"
"economia",15.97,2.99,"no","no"
"psicologia",16.26,5.63,"no","no"
"psicologia",14.37,6.77,"no","no"
"economia",22.12,1.97,"no","no"
"psicologia",17.09,0.18,"no","si"
"giurisprudenza",13.95,0.96,"no","si"
"psicologia",14.89,0.29,"no","no"
"economia",12.27,-0.18,"si","si"
"giurisprudenza",19.28,2.64,"si","si"
"medicina",13.69,2.12,"no","no"
"psicologia",25.08,1.63,"no","si"
"medicina",7.74,-0.69,"si","si"
"giurisprudenza",12.68,0.43,"si","si"
"economia",21.13,0.5,"si","si"
"psicologia",15.55,1.65,"no","no"
"psicologia",10.05,-0.46,"no","si"
"economia",12.02,-0.16,"si","si"
"economia",17.72,0.39,"si","si"
"economia",16.93,0.35,"no","si"
