"genere","esposizione_critica","fase_training","carico_lavorativo","consapevolezza","fiducia_pre","fiducia_post"
"maschio","sì","post",5.6,50.3,0,0
"maschio","no","post",4.4,49.7,0,0
"maschio","no","pre",5.4,39.9,0,0
"femmina","sì","post",6.8,51.7,1,1
"maschio","no","pre",5,31.1,0,0
"femmina","sì","pre",9.4,31.3,1,1
"femmina","sì","post",5.4,54.5,0,1
"femmina","sì","pre",6.8,37.2,1,1
"maschio","no","pre",5.4,33.9,1,1
"maschio","no","pre",5.6,41.1,0,0
"femmina","sì","post",3.5,62.7,0,1
"femmina","sì","pre",6.2,39.8,1,1
"femmina","sì","post",6.1,47,1,1
"maschio","no","pre",7,33.8,1,1
"femmina","sì","post",4.3,56.5,1,1
"maschio","no","post",4.3,51.6,0,0
"femmina","no","post",4.7,43.5,0,1
"maschio","no","post",7.7,55.1,1,0
"maschio","no","pre",4.8,36.3,0,0
"maschio","no","pre",6.2,34.7,0,0
"maschio","no","pre",9.4,38.8,0,0
"femmina","sì","post",5.3,49.7,0,1
"maschio","sì","pre",4.5,45.3,0,0
"maschio","sì","pre",5.5,32.7,0,0
"maschio","no","post",6.2,50.8,0,0
"maschio","no","pre",5.9,37.8,0,0
"femmina","sì","pre",5.7,32.8,1,1
"femmina","sì","post",5,50.8,1,1
"maschio","sì","pre",6.6,36.6,1,1
"femmina","sì","post",7.9,53.9,1,1
"maschio","sì","post",5.4,45.3,1,1
"femmina","sì","post",7.1,49.7,1,1
"maschio","sì","pre",7.4,38.9,1,1
"femmina","sì","pre",6.3,34.6,1,1
"femmina","sì","pre",4.2,42.7,0,0
"maschio","no","pre",5.7,41,1,1
"maschio","no","post",4.8,55.6,1,1
"maschio","no","pre",6.6,40.1,1,1
"maschio","sì","pre",8.5,32.5,0,0
"femmina","no","pre",9.9,28.1,1,1
"maschio","no","pre",8.8,19.1,0,0
"femmina","sì","post",5.3,53.2,1,1
"femmina","no","post",2.9,58.7,1,1
"maschio","no","pre",5.9,40.8,1,1
"maschio","sì","post",5.6,50.5,0,0
"maschio","no","pre",7.8,43.4,0,0
"maschio","no","pre",7.9,35.5,0,0
"femmina","no","pre",7.5,35.6,0,0
"maschio","no","post",3.4,62.3,1,1
"maschio","no","pre",7.8,30.9,1,1
"femmina","sì","pre",5.8,36.1,0,0
"maschio","sì","pre",6.8,48.5,0,0
"maschio","no","post",5.6,53.3,1,1
"maschio","no","pre",7.1,43.9,0,0
"maschio","no","pre",6.5,29.7,0,0
"femmina","no","post",3,55.4,1,0
"femmina","sì","pre",7.6,36.7,0,0
"maschio","no","pre",7.1,37.3,0,0
"femmina","sì","pre",6.1,32.8,0,0
"maschio","no","post",5.7,53.3,0,1
"maschio","no","post",5.7,47.8,1,1
"femmina","sì","pre",6.8,39.9,0,0
"femmina","sì","pre",9,37.5,1,1
"maschio","no","pre",6.2,26.5,1,1
"maschio","no","post",5.8,59.3,1,1
"femmina","no","pre",8.3,27.3,1,1
"maschio","no","post",7.1,53.8,1,1
"maschio","no","pre",8.2,36.9,0,0
"maschio","sì","post",4.6,53.4,1,1
"maschio","sì","pre",9.5,27.8,0,0
"femmina","sì","pre",6.6,37.6,1,1
"maschio","sì","pre",9.3,33.6,1,1
"maschio","sì","post",3.5,60.2,0,1
"maschio","no","post",5.5,43.1,1,1
"maschio","no","pre",8.4,25.1,1,1
"femmina","sì","pre",5.4,46.3,1,1
"femmina","sì","post",4.4,60,0,1
"maschio","no","pre",5.1,42,0,0
"femmina","no","pre",4.9,43.7,1,1
"femmina","no","post",4.8,58.8,0,1
"femmina","sì","pre",7,22.7,1,1
"femmina","sì","post",2.5,62.6,0,0
"maschio","no","post",5.8,50.6,0,1
"femmina","sì","post",7.4,52.3,0,0
"femmina","sì","post",8.6,48.3,0,1
"femmina","sì","post",7.5,55.4,0,1
