"gruppo","accuratezza_prima","accuratezza_dopo","ERP_P300_prima","ERP_P300_dopo","attivazione_fMRI_prima","attivazione_fMRI_dopo","risposta_stimolo","carico_cognitivo","memoria_lavoro"
"Training A","corretta","corretta",3.75951822995895,3.84361066108968,36.1670584868694,36.306735977674,"rapida",3.08622596424864,102.119139706685
"Training A","sbagliata","corretta",4.88851422779501,5.61269553886104,61.4960464876736,61.4523927500191,"lenta",17.5291092046041,93.9443452305695
"Training A","sbagliata","sbagliata",2.43942904927217,3.467544260288,60.0646766850452,71.2892317918085,"lenta",2.55029424875574,94.3087630272847
"Training B","sbagliata","sbagliata",5.6639872841244,8.32213500870485,53.9257050862015,62.3310593773996,"rapida",5.05193815585122,91.6353455902233
"Training A","sbagliata","corretta",15.7752589617239,18.3373304793709,41.1380674992831,45.4915417807464,"lenta",4.8967584929791,124.339896936352
"Training B","sbagliata","corretta",11.7135985390021,16.2892691652361,36.282457231649,35.9812162675645,"lenta",6.87027660566935,120.37998653155
"Training B","sbagliata","corretta",3.51641638752629,4.59615136325447,65.212967765024,70.3939138663855,"rapida",2.62239536875053,117.448218158535
"Training B","sbagliata","corretta",14.1194016607422,17.5505799629351,55.7155044072958,62.1949519912692,"rapida",12.5325512358137,124.922859180218
"Training A","sbagliata","corretta",9.02442396060141,16.6327808201981,52.3998089337994,49.4391128537455,"rapida",2.97005509263547,94.372438704087
"Training A","sbagliata","corretta",16.8140970996597,17.0869590448746,52.9344370829069,54.1043707461808,"lenta",3.20094432441501,82.9896813286743
"Training B","sbagliata","corretta",1.54211102899207,3.44227176362779,34.7561945143653,36.6518996362536,"rapida",5.61808649427621,108.328060927951
"Training B","sbagliata","corretta",1.45722785344335,1.88196942154132,61.4314697262626,67.8098258421573,"lenta",12.6170943125443,115.880846887389
"Training B","corretta","corretta",12.2714540294318,13.7724120327896,66.0381108959682,66.6705129211088,"rapida",3.50764510305757,136.204499072066
"Training A","sbagliata","corretta",7.13216725252115,9.68743612004563,50.3174212914342,51.8242023315558,"rapida",8.98959123061965,83.8540495759243
"Training B","sbagliata","corretta",15.4740201932781,16.7418950460449,37.7241605850643,29.2567522203627,"lenta",14.41248454832,104.098535546002
"Training A","sbagliata","sbagliata",23.0004250631585,23.145662971786,46.8753113061053,51.0958568010599,"rapida",8.04614560347478,101.607832248506
"Training B","corretta","corretta",3.02751775143961,4.06588874110356,45.1509306980968,45.8839379540851,"rapida",13.2004013252212,99.1810201695942
"Training A","sbagliata","corretta",7.82348867610238,10.0643486346981,57.7198227429415,59.3589525032822,"rapida",9.43961229644665,77.2701378390255
"Training A","sbagliata","corretta",11.7073390427344,12.9569244808922,54.0044460992892,59.9788172862764,"lenta",8.31232403665485,106.505140308949
"Training A","sbagliata","sbagliata",5.80876538958273,7.01220560678117,41.4814875682169,49.5331806870838,"rapida",8.04048093577002,113.493171299816
"Training A","corretta","corretta",31.5123971256713,33.0052561983167,48.6610515338045,54.6402879634856,"lenta",13.9936822544104,85.1570169656669
"Training B","sbagliata","corretta",6.29548866797285,6.94598970763448,65.3020142541477,66.490310657162,"lenta",11.6890422647663,113.613275590268
"Training A","corretta","corretta",16.0686901534497,17.4887750304624,52.565742818441,60.7287959518486,"rapida",3.01129560318154,112.354163539331
"Training A","corretta","corretta",12.353023989458,13.587935265116,58.7548983495413,72.0385186162207,"rapida",5.42796840647784,96.1673634617892
"Training A","corretta","corretta",9.35753663008759,11.4463519646075,60.4528329090324,68.7444689452417,"rapida",4.03957876216859,96.6897347912318
"Training A","corretta","corretta",0.254727762337523,0.773312941805939,68.6461561608793,68.9688462642783,"lenta",10.2578304151053,104.615901868159
"Training B","sbagliata","sbagliata",9.99455877761119,11.0899316413938,24.4859259171588,33.0570868225729,"rapida",7.09673146202134,80.6647078922656
"Training B","sbagliata","corretta",2.82782423602228,5.81088558107519,24.7875996817583,36.3910484732592,"lenta",11.1693704070739,119.714809988792
"Training A","corretta","corretta",28.0678660184137,28.4722837833578,57.7952108731583,58.5826907170375,"rapida",12.3377091629041,97.9207747080866
"Training B","sbagliata","sbagliata",39.3770740201272,42.2671271883558,46.6467478392345,51.3827841391641,"rapida",12.5217023713058,96.3612509844249
"Training A","corretta","corretta",13.405963666632,19.5480234422895,59.2972665283347,57.7920039243088,"rapida",15.073784924261,113.10503019409
"Training B","sbagliata","corretta",10.949205121829,12.1548080056863,53.1291094331058,53.2128784804925,"lenta",16.2081987221224,87.0951138786541
"Training A","corretta","corretta",4.32454047494173,6.16242579157179,49.997957030434,49.3130988254311,"rapida",13.9871304716783,81.3262356650302
"Training B","sbagliata","sbagliata",1.21458413252484,5.11983668296411,47.4935229319664,56.4231077467896,"lenta",8.17840616576697,98.5941514935869
"Training B","sbagliata","corretta",7.41264122309412,13.1264014626823,65.2027517635187,72.4378603661651,"lenta",5.94706008879566,95.7888991824399
"Training A","sbagliata","corretta",3.28522717390876,4.24547364194541,29.0674348092949,39.2775928673229,"lenta",4.70719603425791,104.390186776254
"Training A","sbagliata","corretta",8.71015248389826,10.2883292651942,49.8955843847242,59.7946649574414,"lenta",2.52779330814828,89.4774214473901
"Training A","sbagliata","corretta",8.60813793525403,9.05701528295153,74.1134607807914,67.5338431898938,"lenta",6.24189579614177,113.23351851727
"Training A","corretta","corretta",2.43069263943586,3.2230672310924,46.0319430049019,47.9630788479987,"rapida",11.5105097186708,97.9994441691566
"Training B","corretta","corretta",10.1109979823959,12.2778481342343,63.3294263781491,75.8475790403439,"lenta",4.88958696740851,124.551360237482
"Training A","sbagliata","corretta",13.9354548855017,15.0626340922768,53.56054887395,65.3685389091309,"lenta",2.95445238407837,106.917886813177
"Training B","sbagliata","corretta",13.7631222453876,14.6146401152293,52.5626111940519,56.2995659316264,"rapida",12.8066222966994,60.9394274408934
"Training B","corretta","corretta",3.94915138871608,5.59092444763755,48.9415677669546,57.596385348132,"rapida",4.6413614230856,107.709756796719
"Training A","corretta","corretta",9.76917780942686,10.1424170147224,43.4091787178105,47.0712294329234,"rapida",3.80706572470487,102.880005567084
"Training A","corretta","corretta",4.06100596869316,5.44041762105309,49.2973949088252,46.0235426307746,"lenta",5.65014246728764,90.1563530737441
"Training A","sbagliata","corretta",10.1297608778023,14.4922653184421,43.9346669704802,51.5113211083291,"lenta",5.45237085926153,108.525977963043
"Training A","sbagliata","sbagliata",6.91784486018532,9.66289981411207,52.8807059148726,51.7047428031211,"rapida",6.31165794622213,83.9414419766442
"Training B","corretta","corretta",4.3988892299676,9.16447877458266,35.2426301766494,42.0633605673146,"rapida",8.17586041823079,84.4032618789469
"Training A","sbagliata","corretta",8.16835912228915,9.6128967359152,46.6356195765205,63.3496343424391,"rapida",11.3228833377276,99.3497084725937
"Training A","sbagliata","corretta",7.33857689021806,7.88107458678597,60.192242019091,62.7880890385885,"rapida",4.64715191335445,99.4810974130144
"Training B","sbagliata","corretta",1.7665771997611,5.16171266618709,31.9003998856112,34.2963809529088,"lenta",10.1045620370339,102.127111888307
"Training A","corretta","corretta",4.0671833240124,4.26265232051219,59.7892357205656,55.1450471146997,"rapida",2.49296467483198,81.7547903816215
"Training A","corretta","corretta",2.05068349722032,2.2897058464925,45.6612205070799,53.9156336934369,"rapida",10.3199242396738,102.563594850236
"Training A","sbagliata","corretta",23.2274254667668,24.0109165965848,67.3483673348973,71.285151653928,"lenta",3.67201538029074,112.075796404333
"Training A","sbagliata","corretta",7.16326194522546,9.72264280533799,50.2577102669642,47.7851045172316,"lenta",4.52788892537404,115.758892661738
"Training B","corretta","corretta",19.4964963167058,20.3794759295289,60.1879986769785,63.3073979105099,"rapida",16.219481342352,110.292028829483
"Training B","sbagliata","corretta",4.9031796326676,5.13847382619371,54.3956317677057,68.3766412105133,"lenta",5.70047658615674,64.9607900221015
"Training A","sbagliata","corretta",5.51784208620314,6.5076538154424,33.5514424551569,41.4428636625639,"lenta",9.59659466100734,99.0132392219502
"Training B","sbagliata","corretta",10.7294513675632,11.9045924414614,52.084265523039,52.9402708058975,"lenta",24.0012143595736,76.4927485175164
"Training A","sbagliata","sbagliata",8.36563869354188,13.6205113723511,50.463070740762,60.3847038295541,"rapida",9.57061397380026,107.241085122638
"Training A","sbagliata","corretta",13.1094252768616,13.5375961334421,52.4656528672956,54.5672255201503,"rapida",7.11824058239129,69.3328439116289
"Training B","sbagliata","corretta",3.29026705746252,6.35384392384229,54.938276115329,59.8649586477846,"lenta",13.4398450166102,119.396042290365
"Training B","sbagliata","sbagliata",21.7752570084313,22.496896280903,49.1449355555845,50.28112879801,"rapida",5.09501131253477,102.832739725849
"Training A","corretta","corretta",7.90429101755066,7.91260228494668,48.7249539333111,43.8837054559129,"lenta",10.0246518694388,99.4964234224371
"Training A","sbagliata","corretta",15.9712456889237,20.0486864510635,23.961371120502,33.9519338335867,"lenta",2.88939197156245,99.7320456833485
"Training B","corretta","corretta",24.4747723250225,27.6987576351238,47.6334557404789,54.724347578855,"lenta",4.88596534438177,87.5947816571435
"Training A","sbagliata","corretta",5.87532134244635,8.40345634417143,61.2421503431044,62.3512844826689,"lenta",3.13423639451695,103.848392214329
"Training A","sbagliata","corretta",2.67341466801038,3.30833577947908,61.8301131379027,56.9933730802052,"lenta",1.34094990690265,92.4419960044447
"Training A","corretta","corretta",6.24653751082613,9.37667729858968,61.8218557104205,67.1219925171546,"lenta",7.89524005474112,104.1551687749
"Training A","corretta","corretta",9.50865290057535,10.5673813083686,57.3822226689238,69.8097397512245,"rapida",3.48139735030599,86.0296596276889
"Training B","sbagliata","corretta",7.62575729126076,9.07203055557399,50.0186018765586,53.4752795716448,"rapida",6.01788245819706,109.569345511163
"Training A","corretta","corretta",9.54649283351137,10.5406840580366,41.8688012705122,41.6806491963904,"lenta",34.1039714076015,116.602561309997
"Training A","corretta","corretta",17.838813533852,24.4249333790566,45.2050446554297,50.9867277980756,"rapida",7.05949037872772,107.638091704807
"Training A","corretta","corretta",8.26131798908314,10.3518784469929,45.1740398545449,54.5838285572066,"lenta",10.8853566710094,115.506245146767
"Training A","sbagliata","corretta",12.5004300943791,12.5249636535947,57.6872119246012,62.8803942394433,"lenta",13.4986438055972,83.6369685729607
"Training B","sbagliata","sbagliata",13.0278028175394,13.2599283761394,49.5397776838815,49.9796855003858,"lenta",4.76534701121579,73.3147871367876
