"sesso","indirizzo_scelto","frequentante","superato_psicometria","opinione_prima","opinione_dopo","interesse_t0","interesse_t1","rendimento","qi"
"female","clinica","sì","no","negativa","positiva",59.4116580672417,74.1652630992474,56.1147028180332,101.369728558418
"male","lavoro","sì","no","negativa","positiva",51.7058808184084,60.693884106356,56.4782896580003,101.650011360335
"male","clinica","no","no","negativa","positiva",39.3650209361796,53.5813522090687,58.1731427184653,103.442338706741
"male","lavoro","sì","no","negativa","negativa",36.1195095239794,47.3516290672876,56.6254869625012,102.088958744554
"female","sperimentale","no","no","negativa","negativa",70.8671743449315,75.2077997858114,56.3455762179961,102.483451524083
"male","clinica","no","no","negativa","positiva",43.2149685458156,50.6001547372391,58.2684418815264,103.651834810396
"female","clinica","sì","sì","negativa","negativa",31.4442834608196,31.5843124034399,56.7845709815477,102.690919661341
"male","lavoro","sì","sì","positiva","positiva",55.3325936275365,59.4065827805316,55.202929472197,100.908011739238
"female","clinica","sì","sì","negativa","positiva",53.102302560609,64.2071211023531,55.9329488527709,101.305127997614
"female","clinica","no","no","negativa","positiva",36.461656642774,44.1680773601858,56.4853893000395,101.222855134882
"male","sperimentale","no","no","negativa","positiva",30.5704358641805,37.8572225223071,57.8866122776119,103.076561979457
"female","clinica","no","no","negativa","positiva",48.8369748284139,48.6463196299779,57.0372410497086,102.241164774136
"male","clinica","no","sì","negativa","positiva",61.3939629170942,63.3713967654236,56.9570791880069,102.401167742531
"female","clinica","no","no","negativa","positiva",56.3612403518215,57.5382102830536,56.3941464531276,102.398613429736
"female","clinica","sì","sì","negativa","positiva",45.0706257583802,52.0471051084477,55.5224845796858,101.970981123443
"male","lavoro","no","no","negativa","negativa",41.6581176841562,41.7055795318234,57.9726173896831,104.087717130504
"female","clinica","sì","no","negativa","positiva",52.7106675675055,60.5208745180007,57.0920176322227,102.455471161826
"female","clinica","sì","sì","negativa","positiva",51.5735334721616,50.9914514124939,55.0529497169118,99.690407235855
"male","clinica","sì","no","positiva","positiva",56.2971174669273,70.4397697576041,57.347530542836,102.596663353071
"male","sperimentale","sì","sì","positiva","positiva",46.042020497111,53.3449772445016,56.096232145496,101.559127279576
