"sesso","socio_eco","atteggiamento_generale","orientamento_politico","favorevoli_aborto","atteggiamento_prima","atteggiamento_dopo","maschilismo","emotività_prima","emotività_dopo"
"Maschio","Medio",29.8210846910416,5.83149843026342,0,0,0,1.92043149807683,2.74303333632079,1.28843699144884
"Femmina","Alto",27.4487992082903,4.33627321794992,0,0,0,7.66308817087557,3.68416141288341,1.95553365945155
"Maschio","Basso",35.1811734479247,5.48766504417909,1,1,0,1.36328712606615,4.00614471003788,2.30984250404167
"Femmina","Basso",29.0834791586045,4.5185737231318,0,0,0,1.66130071879364,1.05601408151784,0.01
"Femmina","Medio",13.5636914134797,6.99631600734137,0,0,0,3.19887170468938,8.26609802753612,6.11910018012217
"Maschio","Alto",32.0377852674493,5.29300792978888,0,0,1,4.59519331991049,7.52228527059202,5.53099145976454
"Femmina","Medio",6.00444674461503,7.4301687438041,0,0,0,8.72392671173676,2.96355561063401,1.33245488436254
"Femmina","Medio",32.3893428536158,3.8176245738392,1,1,0,4.07958287149838,7.24672036959912,6.06382118737716
"Femmina","Medio",25.3416294916742,7.68726926967449,0,0,1,5.07126413088136,4.45780279726234,3.50182589155404
"Maschio","Medio",42.1928629612322,4.18333971967844,1,1,1,2.17302449732336,5.26695203274185,4.23346009330976
"Femmina","Medio",33.6142115063237,3.36959051365333,0,0,1,3.12133613622198,5.75312870713207,4.68470163223744
"Maschio","Medio",29.8547951754416,4.50974787169762,0,0,0,2.53243996722146,2.74155889430378,0.99036779224972
"Femmina","Medio",26.444586949786,6.68352260793005,0,0,1,4.56738562715725,0.433871717191295,0.01
"Femmina","Basso",22.179778231306,6.91070999505294,0,0,0,12.4800753565811,3.32249432003482,1.91074006962964
"Maschio","Medio",43.8778453676835,3.62680284005502,1,1,1,2.69550073463273,4.28626535387621,2.12556376543483
"Femmina","Basso",35.7118139209995,5.38555715090583,1,1,1,4.12733174282415,1.74089822315501,0.104614185398953
"Maschio","Medio",28.8141042745814,6.57772496356899,0,0,1,3.88314157278988,3.04015776241043,1.53462965440602
"Maschio","Medio",32.471392325349,5.65576782605932,0,0,0,4.15558607354095,9.98885329326119,8.87912642980277
"Maschio","Alto",57.5738077819491,2.24636548590248,1,1,1,1.67428474514723,3.41273248402065,2.26328277531627
"Femmina","Alto",21.8596082010774,6.96872648475801,0,0,1,3.42326538176077,5.70543891395107,4.585121347431
"Femmina","Medio",32.7781905702433,4.60674931842171,0,0,1,3.37842158384088,5.75454504215342,4.33967499429752
"Femmina","Alto",31.5859509012328,5.27276151626569,0,0,0,2.74416978807839,5.84818441803237,4.67632734092278
"Femmina","Basso",26.3240081866533,6.58845587371625,0,0,0,5.83006963103379,7.62429019368984,6.04551807660409
"Femmina","Basso",60.6490564657282,1.59393068587949,1,1,1,2.01251426455708,7.17520069935099,5.12849331924146
"Femmina","Medio",29.6694710660985,4.82560615130433,1,1,0,3.9996803031566,6.67221828765971,5.02169707220609
"Femmina","Medio",28.3396845713299,4.84541398116779,1,1,0,2.94131600507341,11.9863400106663,10.7655847045965
"Femmina","Medio",26.2741999439638,5.47707984771673,1,1,1,3.0094772997191,4.84079306442841,3.87848100250873
"Femmina","Basso",43.7262244006465,2.49574067531402,1,1,1,6.52807028022267,0.498319813297301,0.01
"Maschio","Basso",48.5200797081724,3.92038882195099,1,1,1,1.89387586597569,1.15362735882548,0.01
"Maschio","Alto",11.128087907097,8.42388738547755,0,0,0,7.02781099801472,5.51928911565981,4.4824884654262
"Femmina","Basso",32.8450166046762,5.32579394574942,1,1,0,2.6286947222863,4.54363558584207,2.85028523048289
"Femmina","Medio",37.7870108685908,5.13487711686303,1,1,1,6.44258510757186,3.84659858897651,2.01638964267485
"Femmina","Basso",30.988898339495,4.93063501639083,0,0,0,5.37071147147425,5.62025127718858,4.25829529248453
"Femmina","Medio",37.367930069256,3.91010459067445,1,1,1,1.94357424062338,0.843910790641071,0.01
"Maschio","Medio",24.0580914587852,5.9421281803381,0,0,1,1.62032763967179,2.5753112691476,1.41818602808028
