"sesso","condizione","tempo_sonno","stress_autovalutato","accuratezza"
"femmina","musica",7,2.8,88
"maschio","mindfulness",9.6,6.8,98.2
"femmina","musica",6.1,4.5,88.4
"maschio","controllo",5.7,6.9,82.4
"maschio","musica",7,5.4,98.6
"femmina","musica",7.4,6.8,89.6
"femmina","musica",7.5,8.2,91.8
"maschio","controllo",6.4,5.5,84.7
"femmina","musica",5.7,7.5,84.6
"femmina","musica",8.5,3.1,101.1
"maschio","mindfulness",6.6,4.1,98.8
"femmina","mindfulness",6,8.5,86.9
"femmina","mindfulness",6.7,6.3,95
"femmina","musica",6.8,1.4,99.5
"femmina","musica",8.3,2.8,103.8
"maschio","musica",7.1,5.1,87.9
"femmina","mindfulness",7.9,7.2,102.6
"femmina","controllo",6.4,5.3,85.6
"femmina","mindfulness",7.3,6.7,92.5
"maschio","controllo",6.6,7.4,91.2
"maschio","musica",7.1,8.8,92.8
"femmina","musica",5.9,5.6,82
"femmina","mindfulness",5.4,5.4,83.6
"maschio","controllo",9.4,2,93.7
"femmina","musica",7.7,5.7,94.5
"maschio","controllo",5.5,4.4,84.8
"femmina","musica",6.3,3.6,93.1
"femmina","mindfulness",5.6,5.1,91.7
"femmina","mindfulness",9.6,7.5,97.1
"femmina","controllo",8.6,1.5,94.8
"maschio","musica",6.7,4.6,95.1
"maschio","mindfulness",7.7,5.7,97.9
"femmina","controllo",6.5,3.7,82.3
"maschio","musica",6.4,6.2,86.5
"femmina","musica",6.1,6.3,82.8
"femmina","musica",6.3,5.4,78.7
"maschio","controllo",9,0.6,101.5
"femmina","mindfulness",6.9,10.6,86.5
"femmina","mindfulness",7.1,5.1,93.7
"femmina","controllo",7.3,6.8,90
"femmina","mindfulness",8.5,6,102.5
"femmina","musica",6.4,7.5,87.9
"femmina","musica",5.8,7.1,82.2
"femmina","controllo",9,5.1,93.2
"femmina","mindfulness",6.5,6.3,90
"femmina","controllo",6.1,3.6,90.1
"femmina","mindfulness",5.5,7.2,80.9
"femmina","musica",5.5,4.6,86.3
"femmina","musica",6.3,10.3,88
"maschio","controllo",7.7,2.2,93.8
"femmina","musica",8.3,4.6,93.5
"femmina","mindfulness",7.8,7.2,92.8
"maschio","controllo",6.6,6.5,90.9
"femmina","controllo",7.1,4.3,93.9
"femmina","mindfulness",6.2,3.5,99.2
"femmina","musica",6.1,5.8,88.6
"femmina","controllo",8.1,5.5,95.3
"maschio","mindfulness",5.8,1.9,89.2
"maschio","mindfulness",9.3,5.6,102.9
"femmina","controllo",6.9,5.9,86
"femmina","mindfulness",7.3,5.8,87
"femmina","controllo",6.1,3.4,89.4
"femmina","controllo",6.3,6.5,95.5
"femmina","mindfulness",5.4,8.3,88.4
"maschio","controllo",6.8,6.4,91.9
"femmina","musica",7.5,3.2,97.7
"maschio","controllo",7.4,4.6,87.3
"maschio","controllo",6.1,6.2,82.9
"maschio","mindfulness",6.1,4.2,88.9
"femmina","controllo",6.4,1.2,90.1
"maschio","mindfulness",8.8,7.3,99.6
"femmina","controllo",5.6,3.8,80.6
"maschio","controllo",6.8,4.4,92.9
"femmina","controllo",9.3,8.5,98.2
"femmina","musica",6.9,4,86.9
"femmina","musica",5.4,7.2,87
"femmina","mindfulness",6.2,3,105.8
"femmina","controllo",7.6,4.8,89.6
"femmina","mindfulness",6.5,5.4,96
"femmina","musica",6.3,3.2,87.8
"femmina","mindfulness",6.6,4.2,99.1
"femmina","musica",7.1,5.4,93.1
"femmina","mindfulness",8.9,6.8,106.7
"maschio","musica",6.9,2.2,86.2
"femmina","controllo",8.3,4.8,94.5
"femmina","controllo",7.8,7,87.8
"maschio","controllo",6.9,4.4,87.9
"maschio","controllo",5.2,6,77.9
"maschio","musica",6.4,6.5,82.4
"femmina","mindfulness",6.4,6,93.6
"femmina","controllo",7.1,6.8,82.8
"femmina","mindfulness",8.6,5.3,106.7
"femmina","controllo",9.8,4.7,94.2
"femmina","musica",8.9,0.2,104.9
"femmina","musica",6.8,5.3,93.6
"femmina","controllo",4.9,6.4,83.9
"maschio","mindfulness",6.5,6.6,87.3
"femmina","musica",7.1,4.4,93.5
"femmina","controllo",8,9.1,93.4
"femmina","musica",8.2,6.1,87.6
"femmina","mindfulness",7.8,5.8,91.9
"femmina","controllo",5.3,8,82.1
"femmina","controllo",8,4.1,92.4
"maschio","controllo",6.5,4.6,94.1
"femmina","controllo",7.2,10.3,87.7
"maschio","controllo",7.1,5.5,88.6
"maschio","musica",7.5,8.8,80.2
"femmina","mindfulness",7,2.6,97
"femmina","mindfulness",5,5.1,85.3
"femmina","mindfulness",7.9,6.3,95.1
"maschio","musica",7.5,6.1,85
"femmina","controllo",6.7,3.5,93.2
"femmina","mindfulness",7.1,5.5,88.6
"maschio","mindfulness",7.2,3.3,94.1
"maschio","controllo",7.3,6.9,89.2
"femmina","mindfulness",9,7.7,93.8
"femmina","controllo",6.7,1.1,96.5
"maschio","controllo",7.2,8,79
"femmina","mindfulness",8.4,3,87.3
"femmina","musica",8.3,6.4,97.2
"femmina","controllo",8.4,6.8,96.9
"femmina","musica",6.3,5.1,88
"femmina","controllo",9.4,4.2,101.9
"femmina","mindfulness",7.1,5.8,87.6
"femmina","controllo",9.2,6.4,95.4
"maschio","mindfulness",5.4,7.3,74.4
"femmina","mindfulness",7,1.4,104.2
"femmina","mindfulness",8.5,2.2,111.9
"femmina","musica",6.1,8.4,90.1
"femmina","controllo",6.1,7.6,83.6
"femmina","controllo",5.9,6.4,84.3
"maschio","controllo",5.7,6.9,74.1
"femmina","controllo",6.5,7.3,89.4
"maschio","musica",7.4,0.2,96.6
"femmina","controllo",4.6,7.7,75.1
"femmina","mindfulness",7.3,4.5,88.6
"maschio","controllo",8.5,6,91.1
"maschio","mindfulness",9.4,4.9,96.8
"maschio","mindfulness",8.6,7.2,93.5
"femmina","controllo",7.9,4.8,87.3
"femmina","controllo",4.9,6.5,89.3
"femmina","controllo",6.3,4.7,87.8
"femmina","controllo",6.6,3.3,96
"femmina","musica",7.8,7.9,78.3
"maschio","controllo",6.9,7,83.5
"femmina","controllo",5.5,8.9,76.7
"femmina","controllo",9,5.6,90.2
"femmina","mindfulness",8.1,7.8,102.2
"femmina","mindfulness",7.3,9.5,82.6
"maschio","musica",8.5,4.9,97.5
