"genere","coping","stress_gestito","emotivita_neg","intro_pre","intro_post"
"femmina","substance",51.75,56.68,25.05,29.31
"maschio","sport",50.75,42.87,22.47,26.05
"femmina","internet",54.28,53.12,60.98,63.68
"maschio","sport",50.25,34.58,31.5,35.64
"maschio","avoidance",33.33,58.08,54.85,57.21
"femmina","internet",57.36,40.69,73.37,77.64
"femmina","internet",53.86,44.08,37.05,40.17
"maschio","internet",47.34,45.18,44.81,50.68
"maschio","internet",51.18,42.24,19.85,30.4
"femmina","internet",51.34,49.22,28.83,31.6
"maschio","internet",52.21,40.46,40.91,47.02
"femmina","internet",66.41,46.22,45.08,50.64
"maschio","internet",47.81,42.16,29.52,33.41
"maschio","sport",51.68,41.67,117.08,120.42
"femmina","internet",61.68,43.82,33.3,40.81
"maschio","internet",60.54,44.66,41.04,42.83
"femmina","internet",61.45,39.77,51.87,54.96
"femmina","avoidance",44.23,53.28,39.59,41.84
"femmina","avoidance",70.02,44.8,30.92,37.91
"maschio","avoidance",50.67,42.38,60.76,64.47
"maschio","substance",68.67,38.76,76.33,79.57
"maschio","internet",36.49,55.36,39.53,53.83
"maschio","internet",50.21,44.67,50.09,54.01
"maschio","avoidance",62.5,50.6,38.47,41.82
"maschio","avoidance",42.85,56.94,60.07,64.58
"maschio","internet",42.47,51.13,25.19,27.33
"femmina","avoidance",40.61,47.16,101.21,106.08
"maschio","sport",39.47,47.4,31.42,35.27
"femmina","sport",45.63,42.6,22.32,27.14
"femmina","sport",53.31,39.83,34.76,37.46
"maschio","internet",29.86,51.16,42.42,45.08
"maschio","internet",52.12,48.43,76.58,79.61
"maschio","sport",62.37,30.62,57.59,60.53
"maschio","sport",70.38,30.68,42.35,49.08
"femmina","internet",63.01,42.4,22.94,30.46
"femmina","sport",57.57,34.3,28.29,32.05
"maschio","sport",32.73,53.55,37.47,40.94
"femmina","internet",43.98,43.43,111.06,114.57
"femmina","internet",46.48,34.71,19.01,23.12
"femmina","avoidance",57.04,48.8,62.88,67.04
"femmina","avoidance",48.94,54.73,32.39,36.88
"femmina","internet",37.41,51.87,77.89,80.86
"femmina","internet",66.84,41.1,25.36,28.21
"femmina","avoidance",59.11,39.67,42.37,48.83
"femmina","avoidance",52.37,48.18,25.77,28.98
"femmina","internet",62.18,31.2,57.41,61.93
"femmina","internet",36.61,59.6,72.41,76.32
"femmina","sport",56.61,47.99,87.28,90.01
"femmina","internet",44.77,54.99,55.03,60.1
"maschio","internet",56.84,43.44,83.61,87.9
"femmina","substance",49.39,52.14,65.85,72.85
"femmina","internet",56.33,36.25,37.94,42.13
"maschio","internet",63.36,44.27,48.41,51.91
"femmina","substance",50.07,50.91,27.11,31.58
"maschio","sport",60.18,33.63,37.14,39.63
"femmina","internet",38.12,45.88,65.19,68.05
"femmina","sport",42.78,44.11,49.67,54.58
"maschio","avoidance",65.19,38.16,48.03,51.53
"maschio","internet",53.77,43.13,26.41,30.31
"femmina","sport",29.48,46.17,31.41,35.23
"maschio","sport",36.36,57.26,29.46,32.54
"femmina","sport",47.99,42.92,46.85,48.63
"femmina","sport",58.66,43.04,26.91,31.51
"femmina","substance",48.98,39.5,50.08,55.5
"maschio","internet",56.24,41.61,25.59,27.98
"femmina","internet",59.59,38.83,83.12,90.36
"maschio","sport",66.71,27.53,48.09,52.76
"maschio","internet",50.56,54.45,30.22,37.06
"maschio","sport",49.48,35.18,44.05,46.78
"femmina","internet",32.47,57.36,34.74,39.02
"maschio","substance",50.99,55.74,46.4,50.24
"maschio","internet",44.28,50.75,44.09,49.53
"maschio","internet",40.26,47.49,26.66,29.84
"femmina","sport",48.2,47.61,29.15,33.13
"femmina","internet",60.15,42.78,45.09,47.05
"femmina","substance",30.07,56.65,77.05,79.98
"femmina","sport",45.73,37.19,61.73,65.94
"maschio","internet",51.17,56.85,31.16,34.18
"femmina","sport",41.07,43.07,55.66,59.59
"femmina","substance",53.34,41.05,39.23,42.55
"femmina","sport",54.11,42.61,45.12,50.22
"maschio","internet",49.67,48.72,44.39,50.77
"femmina","internet",25.34,52.56,112.06,114.94
"maschio","avoidance",75.71,27.43,24.9,28.44
"femmina","internet",47.95,47.44,41.65,48.76
"femmina","internet",56.51,49.44,19.63,21.29
"maschio","avoidance",52.74,51.81,50.64,54.16
"maschio","internet",60.25,39.41,62.02,71.16
"maschio","internet",58.18,38.74,71.32,80.94
"femmina","avoidance",47.9,52.41,18.52,22.78
"femmina","internet",53.78,45.9,47.18,50.01
"maschio","internet",40.55,54.87,75.66,79.93
"femmina","internet",58.57,40.74,33.9,36.98
"maschio","sport",45.39,48.8,36.75,43.9
"femmina","internet",74.17,30.76,39.42,42.32
"femmina","internet",33.49,53.6,46.29,50.93
"maschio","avoidance",45.36,56.02,52.19,57.32
"femmina","sport",58.25,42.82,67.76,70.71
"femmina","sport",55.1,29.76,38.5,44.12
"femmina","substance",44.11,55.48,43.27,46.24
"maschio","avoidance",40.03,58.03,108.21,113.36
"femmina","internet",51.44,39.03,47.53,53.73
"femmina","internet",49.86,49.47,43.14,45.83
"maschio","substance",32.1,56.81,23.38,29.61
"femmina","sport",50.35,46.93,40.05,43.34
"maschio","avoidance",51.9,51.74,36.61,41.11
"maschio","internet",51.75,49.97,39.82,44.16
"maschio","avoidance",39.45,55.88,31.78,35.15
"femmina","sport",54.76,43.94,30.39,34.84
"femmina","substance",63.79,52.01,29.98,32.43
"maschio","internet",54.56,54.55,36.71,40.5
"femmina","internet",38.64,52.54,69.14,74.71
"femmina","internet",45.64,37.93,60.86,62.54
"maschio","internet",53.46,45.43,34.64,36.85
"maschio","substance",43.53,56.26,20.38,22.89
"femmina","internet",28.42,57.01,28.53,30.65
"femmina","sport",58.84,40.42,33.31,38.04
"maschio","avoidance",41.71,59.2,41.69,44.38
"maschio","internet",44.26,47.28,30.69,32.37
"femmina","internet",65.04,38.01,89.26,92.36
"maschio","internet",42.26,52.86,35.87,39.29
"femmina","internet",58.46,40.02,24.61,30.25
"femmina","internet",37.39,53.76,37.8,40.37
"femmina","substance",46.45,43.97,26.76,33.12
"femmina","substance",49.26,46.77,42.58,47.27
"maschio","internet",38.31,46.21,43.92,48.54
"femmina","substance",43.65,50.91,46.11,48.95
"femmina","sport",49.71,38.68,20.91,29.65
"femmina","internet",56.71,45.56,43.69,47.44
"maschio","internet",33.49,60.17,45.29,47.22
"maschio","sport",46.5,40.11,22.66,26.35
"maschio","internet",57.56,38.24,58.62,60.47
"maschio","internet",44.61,44.49,54.74,58.27
"maschio","sport",52.27,38.79,100.36,103.74
"femmina","internet",54.92,43.34,42.59,47.84
"maschio","avoidance",52.68,51.08,40.75,46.74
"maschio","internet",56.53,42.13,41.58,44.57
"maschio","sport",48.77,32.22,41.13,46.65
"maschio","internet",45.86,48.61,19.1,26.17
"femmina","internet",23.57,66.15,20.5,23.42
"femmina","substance",49.07,58.42,38.78,41.86
"femmina","internet",54.3,40.91,31.7,36.89
"femmina","sport",55.35,31.59,40.89,45.19
"femmina","internet",44.45,62.07,17.19,22.17
"maschio","sport",67.8,32.29,21.96,28.98
"femmina","sport",52.86,40.08,25.75,30.42
"femmina","sport",51.26,43.47,59.34,65.43
"femmina","internet",62.72,32.57,25.78,30.91
