"ID","callousness","crimine","partecipazione_recupero","reiterazione","empatia"
1,46.2881246083833,"Furto",0,1,32.5998952962395
2,45.1705974315818,"Sostanze",0,0,36.7625322139747
3,36.2206524882965,"Sostanze",0,0,43.1178878262473
4,43.9966317527548,"Furto",0,0,36.9987141389923
5,43.7490797690812,"Altro",1,0,39.5414372703668
6,42.2400208424413,"Sostanze",0,0,39.0655236300601
7,48.1085748963532,"Sostanze",1,0,30.9136303470531
8,46.66997577191,"Altro",1,0,36.7764470834433
9,45.9195158205731,"Altro",0,0,37.0609957473132
10,42.5278206737921,"Sostanze",0,1,39.1173702047321
11,43.828082956847,"Sostanze",0,0,36.8881122484874
12,46.2736480876694,"Furto",0,1,31.8426336842125
13,42.0602429760682,"Sostanze",0,0,42.0217143695218
14,49.2153590879005,"Sostanze",1,0,28.9838621506581
15,41.0296157793498,"Omicidio",1,0,45.5323831996999
16,46.0084984450281,"Sostanze",0,0,38.5893334335274
17,47.6736660719757,"Sostanze",1,0,31.6192328507229
18,45.1259154310565,"Altro",1,0,31.7948218680231
19,47.5741179106421,"Furto",0,0,30.29466239826
20,46.7915216420871,"Sostanze",0,1,33.9791294853825
21,46.4863048857644,"Furto",1,0,32.7736194788485
22,48.8525015185699,"Altro",0,1,30.1048706832369
23,40.3034392560927,"Sostanze",0,0,36.8417050421123
24,43.6459128594397,"Sostanze",1,0,36.2190039661335
25,47.8352288884957,"Furto",0,1,29.8100577031331
26,37.964070265986,"Furto",1,0,37.0321039242496
27,42.4056332276343,"Furto",0,0,36.4536872115024
28,45.4040930774156,"Omicidio",0,1,37.3528967497667
29,39.9907834011295,"Sostanze",0,0,38.2831757110453
30,40.083864219945,"Sostanze",0,1,41.7400287467301
31,40.3910461723239,"Sostanze",1,1,34.7553057028086
32,41.0959242914325,"Sostanze",0,0,38.7373898119939
33,41.7829757233833,"Sostanze",0,0,39.7752458884471
34,44.5325259977442,"Sostanze",0,1,36.3709340887559
35,45.4426034836765,"Omicidio",1,0,34.8744250987703
36,45.7008825274785,"Sostanze",1,1,32.3769994476054
37,46.6928908953448,"Sostanze",1,0,30.7579960665544
38,45.0889019931509,"Furto",0,0,31.8387116350343
39,48.1092655791173,"Sostanze",1,0,32.243674212183
40,38.2275580637861,"Omicidio",1,0,38.9300180936595
41,47.8013077995821,"Sostanze",0,0,30.7270198693158
42,45.7768220364445,"Sostanze",0,0,33.4549013869607
43,45.9884751306225,"Furto",0,0,39.5431108850741
44,40.6143988047798,"Omicidio",1,0,37.4297514901338
45,44.616543556307,"Furto",1,0,36.0896161605475
46,43.2070276072729,"Sostanze",1,0,37.0268549414182
47,44.4003289853228,"Sostanze",0,1,32.7141011122868
48,44.4573139315344,"Altro",1,0,35.3287618100949
49,45.1544905604068,"Sostanze",0,1,39.1791620148633
50,36.4589591570686,"Sostanze",1,0,44.8955530021691
51,41.6289824463156,"Altro",0,0,38.4947163196632
52,43.7722143208247,"Sostanze",0,0,34.9602951821565
53,43.373194795482,"Sostanze",0,1,30.4670635398964
54,42.6274689544603,"Furto",0,0,40.7665426857822
55,46.1040324615944,"Sostanze",0,1,29.5140473256311
56,45.538091282315,"Sostanze",1,0,36.681751250317
57,47.5561625809497,"Sostanze",1,0,38.1711481267028
58,47.6829762505996,"Sostanze",0,1,27.985344266485
59,42.9799806330456,"Sostanze",1,0,39.1253723730786
60,42.3013363263474,"Sostanze",1,0,36.9120712054452
61,44.0691970229035,"Altro",1,0,31.21437049966
62,39.8413932923687,"Sostanze",0,0,35.614603746286
63,46.0676659810648,"Sostanze",0,0,29.1277254982114
64,49.5347873852455,"Omicidio",1,0,28.8724930482436
65,39.3769042557846,"Furto",1,0,36.2378289892277
66,46.7349284240162,"Sostanze",0,1,35.3288218949113
67,46.6733538035031,"Sostanze",0,1,39.6269730180739
68,39.2655215179919,"Omicidio",0,0,36.8733870539025
69,45.3674999074866,"Sostanze",0,1,36.9957166349389
70,48.0157361644528,"Furto",1,0,34.2913905585499
71,43.5250140751874,"Sostanze",1,0,37.471593661663
72,44.8303312062448,"Furto",1,0,32.1445389689242
73,44.2624019555268,"Sostanze",0,0,35.3792402245813
74,42.6009442902221,"Altro",0,1,36.5578697042671
