"sbj";"Occupazione";"Istruzione"
"1";1;"Casalinghe";"Basso"
"1.1";2;"Casalinghe";"Basso"
"1.2";3;"Casalinghe";"Basso"
"1.3";4;"Casalinghe";"Basso"
"1.4";5;"Casalinghe";"Basso"
"1.5";6;"Casalinghe";"Basso"
"1.6";7;"Casalinghe";"Basso"
"1.7";8;"Casalinghe";"Basso"
"1.8";9;"Casalinghe";"Basso"
"1.9";10;"Casalinghe";"Basso"
"1.10";11;"Casalinghe";"Basso"
"1.11";12;"Casalinghe";"Basso"
"1.12";13;"Casalinghe";"Basso"
"1.13";14;"Casalinghe";"Basso"
"1.14";15;"Casalinghe";"Basso"
"1.15";16;"Casalinghe";"Basso"
"1.16";17;"Casalinghe";"Basso"
"1.17";18;"Casalinghe";"Basso"
"1.18";19;"Casalinghe";"Basso"
"1.19";20;"Casalinghe";"Basso"
"1.20";21;"Casalinghe";"Basso"
"1.21";22;"Casalinghe";"Basso"
"1.22";23;"Casalinghe";"Basso"
"1.23";24;"Casalinghe";"Basso"
"1.24";25;"Casalinghe";"Basso"
"1.25";26;"Casalinghe";"Basso"
"1.26";27;"Casalinghe";"Basso"
"1.27";28;"Casalinghe";"Basso"
"1.28";29;"Casalinghe";"Basso"
"1.29";30;"Casalinghe";"Basso"
"1.30";31;"Casalinghe";"Basso"
"1.31";32;"Casalinghe";"Basso"
"1.32";33;"Casalinghe";"Basso"
"1.33";34;"Casalinghe";"Basso"
"1.34";35;"Casalinghe";"Basso"
"1.35";36;"Casalinghe";"Basso"
"1.36";37;"Casalinghe";"Basso"
"1.37";38;"Casalinghe";"Basso"
"1.38";39;"Casalinghe";"Basso"
"1.39";40;"Casalinghe";"Basso"
"11";41;"Casalinghe";"Medio"
"1.110";42;"Casalinghe";"Medio"
"1.210";43;"Casalinghe";"Medio"
"1.310";44;"Casalinghe";"Medio"
"1.41";45;"Casalinghe";"Medio"
"1.51";46;"Casalinghe";"Medio"
"1.61";47;"Casalinghe";"Medio"
"1.71";48;"Casalinghe";"Medio"
"1.81";49;"Casalinghe";"Medio"
"1.91";50;"Casalinghe";"Medio"
"1.101";51;"Casalinghe";"Medio"
"1.111";52;"Casalinghe";"Medio"
"1.121";53;"Casalinghe";"Medio"
"1.131";54;"Casalinghe";"Medio"
"1.141";55;"Casalinghe";"Medio"
"1.151";56;"Casalinghe";"Medio"
"1.161";57;"Casalinghe";"Medio"
"1.171";58;"Casalinghe";"Medio"
"1.181";59;"Casalinghe";"Medio"
"1.191";60;"Casalinghe";"Medio"
"1.201";61;"Casalinghe";"Medio"
"1.211";62;"Casalinghe";"Medio"
"1.221";63;"Casalinghe";"Medio"
"1.231";64;"Casalinghe";"Medio"
"1.241";65;"Casalinghe";"Medio"
"12";66;"Casalinghe";"Alto"
"1.112";67;"Casalinghe";"Alto"
"1.212";68;"Casalinghe";"Alto"
"1.311";69;"Casalinghe";"Alto"
"1.42";70;"Casalinghe";"Alto"
"1.52";71;"Casalinghe";"Alto"
"1.62";72;"Casalinghe";"Alto"
"1.72";73;"Casalinghe";"Alto"
"1.82";74;"Casalinghe";"Alto"
"1.92";75;"Casalinghe";"Alto"
"1.102";76;"Casalinghe";"Alto"
"1.113";77;"Casalinghe";"Alto"
"1.122";78;"Casalinghe";"Alto"
"1.132";79;"Casalinghe";"Alto"
"1.142";80;"Casalinghe";"Alto"
"1.152";81;"Casalinghe";"Alto"
"1.162";82;"Casalinghe";"Alto"
"1.172";83;"Casalinghe";"Alto"
"1.182";84;"Casalinghe";"Alto"
"1.192";85;"Casalinghe";"Alto"
"13";86;"Lavoratrici";"Basso"
"1.114";87;"Lavoratrici";"Basso"
"1.213";88;"Lavoratrici";"Basso"
"1.312";89;"Lavoratrici";"Basso"
"1.43";90;"Lavoratrici";"Basso"
"1.53";91;"Lavoratrici";"Basso"
"1.63";92;"Lavoratrici";"Basso"
"1.73";93;"Lavoratrici";"Basso"
"1.83";94;"Lavoratrici";"Basso"
"1.93";95;"Lavoratrici";"Basso"
"111";96;"Lavoratrici";"Medio"
"1.1101";97;"Lavoratrici";"Medio"
"1.2101";98;"Lavoratrici";"Medio"
"1.313";99;"Lavoratrici";"Medio"
"1.411";100;"Lavoratrici";"Medio"
"1.511";101;"Lavoratrici";"Medio"
"1.611";102;"Lavoratrici";"Medio"
"1.711";103;"Lavoratrici";"Medio"
"1.811";104;"Lavoratrici";"Medio"
"1.911";105;"Lavoratrici";"Medio"
"1.103";106;"Lavoratrici";"Medio"
"1.115";107;"Lavoratrici";"Medio"
"1.123";108;"Lavoratrici";"Medio"
"1.133";109;"Lavoratrici";"Medio"
"1.143";110;"Lavoratrici";"Medio"
"121";111;"Lavoratrici";"Alto"
"1.1111";112;"Lavoratrici";"Alto"
"1.2111";113;"Lavoratrici";"Alto"
"1.321";114;"Lavoratrici";"Alto"
"1.421";115;"Lavoratrici";"Alto"
"1.521";116;"Lavoratrici";"Alto"
"1.621";117;"Lavoratrici";"Alto"
"1.721";118;"Lavoratrici";"Alto"
"1.821";119;"Lavoratrici";"Alto"
"1.921";120;"Lavoratrici";"Alto"
"1.1011";121;"Lavoratrici";"Alto"
"1.1121";122;"Lavoratrici";"Alto"
"1.1211";123;"Lavoratrici";"Alto"
"1.1311";124;"Lavoratrici";"Alto"
"1.1411";125;"Lavoratrici";"Alto"
"1.153";126;"Lavoratrici";"Alto"
"1.163";127;"Lavoratrici";"Alto"
"1.173";128;"Lavoratrici";"Alto"
"1.183";129;"Lavoratrici";"Alto"
"1.193";130;"Lavoratrici";"Alto"
"1.202";131;"Lavoratrici";"Alto"
"1.214";132;"Lavoratrici";"Alto"
"1.222";133;"Lavoratrici";"Alto"
"1.232";134;"Lavoratrici";"Alto"
"1.242";135;"Lavoratrici";"Alto"
"1.251";136;"Lavoratrici";"Alto"
"1.261";137;"Lavoratrici";"Alto"
"1.271";138;"Lavoratrici";"Alto"
"1.281";139;"Lavoratrici";"Alto"
"1.291";140;"Lavoratrici";"Alto"
