Gender,Age,SuccT1t1,SuccT1t2,SuccT2t1,SuccT2t2,TT1t1,TT1t2,TT2t1,TT2t2
m,22,1,1,0,0,9.32,5.77,29.05,27.83
m,29,1,1,0,1,21.44,17.06,37.71,34.82
m,34,1,0,0,0,19.95,15.06,37.10,32.89
f,21,0,1,0,1,17.25,14.51,40.33,35.29
f,19,1,1,1,1,10.25,6.14,24.73,23.64
m,45,0,1,0,0,17.93,15.97,46.51,41.82
f,62,0,0,0,0,16.11,11.64,59.65,52.17
m,23,1,1,0,0,13.07,10.19,35.75,31.32
m,20,1,1,0,1,4.64,4.93,29.52,24.40
f,45,0,0,0,0,24.20,19.49,41.78,41.51
f,38,1,1,1,1,11.91,11.36,44.23,38.83
m,36,1,1,0,0,18.96,13.74,34.60,32.22
m,25,1,1,1,1,14.73,13.75,28.05,26.07
m,26,1,1,0,1,16.46,15.15,29.99,25.70
f,28,0,1,0,0,15.48,10.35,40.43,35.59
m,41,1,1,0,0,11.85,12.43,38.41,33.83
f,44,0,1,0,1,26.99,18.36,42.19,35.79
f,44,1,1,0,0,24.74,17.43,40.64,32.35
m,53,0,0,0,0,18.17,13.83,59.56,52.23
m,51,1,1,0,0,18.90,14.40,43.01,37.91
f,21,1,1,0,1,11.03,8.97,32.96,29.67
m,20,0,0,0,0,18.00,13.32,35.47,32.72
f,20,1,1,1,0,11.42,6.74,34.50,36.47
f,18,0,1,0,1,12.89,9.85,32.55,28.16
m,47,0,0,0,0,23.01,15.78,49.00,44.28
m,33,1,1,0,1,17.02,13.35,37.56,36.87
f,38,1,1,1,1,5.27,4.61,42.05,37.48
m,19,1,1,0,0,10.03,9.79,30.55,30.06
m,26,1,1,0,0,12.62,9.61,34.35,28.93
f,28,0,0,0,1,15.76,12.56,37.97,35.54
f,46,1,1,0,0,12.33,13.10,38.02,31.38
m,23,1,1,1,1,9.00,7.06,37.74,34.76
f,21,1,1,0,1,11.81,11.80,34.91,33.27
m,56,1,0,0,0,22.41,17.42,54.91,49.42
m,22,1,1,0,1,7.85,5.51,36.96,35.09
f,44,0,1,0,0,11.83,11.00,40.09,34.79
m,63,0,0,0,0,25.41,18.41,62.50,57.81
m,45,0,0,1,1,26.41,17.67,46.14,46.96
f,42,1,1,0,0,17.47,12.10,42.02,33.72
m,29,1,1,0,0,13.07,9.53,37.90,34.46
f,28,1,1,0,1,3.92,1.94,44.44,40.22
m,29,1,1,0,0,13.98,12.26,37.82,37.61
f,23,1,1,1,1,18.22,14.15,32.80,30.09
m,48,0,1,0,0,18.53,15.66,45.90,40.76
m,44,1,1,0,1,24.40,18.70,50.80,43.35
m,32,0,1,0,0,15.59,10.44,45.76,47.34
m,30,1,1,0,1,20.37,15.26,33.92,27.63
m,21,1,1,1,1,15.13,12.68,38.61,37.04
