TEST;ANNOcat;MC
61,1;0;31,1
54,4;1;55,3
52,1;1;50,8
78,1;1;55,9
76,0;1;55,8
68,3;0;40,8
61,9;1;49,0
63,3;0;28,8
50,1;0;36,0
53,6;1;41,7
68,7;0;38,5
48,9;0;28,0
35,8;1;40,5
50,6;0;33,4
48,7;1;46,9
48,8;1;40,5
59,8;1;51,3
64,1;0;36,9
58,4;1;55,1
61,3;0;37,0
56,7;0;34,2
45,5;1;46,1
73,1;1;58,4
50,7;1;46,5
73,9;1;56,1
59,4;0;36,9
52,9;0;30,0
55,3;1;45,9
63,6;1;48,6
73,0;0;40,8
49,5;0;32,8
54,4;1;51,3
47,6;0;34,7
62,2;0;38,4
64,8;0;39,6
65,4;1;52,1
61,6;1;45,7
56,7;1;46,8
68,3;0;32,2
56,8;1;48,9
45,9;0;33,6
58,7;0;32,7
44,9;1;40,6
65,3;1;47,5
54,2;1;46,8
72,9;0;34,6
74,5;1;58,2
53,1;0;35,3
72,7;1;52,7
48,6;1;45,5
71,6;1;47,8
61,2;1;51,5
52,8;0;35,9
78,7;1;55,4
52,5;0;30,8
64,9;1;54,1
65,7;1;50,0
66,4;0;38,3
81,1;1;59,0
56,9;0;35,5
52,8;0;32,2
58,8;0;37,5
56,8;0;36,1
69,2;1;51,9
59,9;1;52,4
56,6;1;44,7
42,6;1;43,3
54,6;1;56,9
68,4;1;53,3
52,4;0;35,4
48,4;0;32,8
32,0;1;43,8
63,2;1;48,9
58,0;1;55,0
66,1;1;55,6
85,8;0;40,1
54,7;1;48,2
65,7;1;51,4
50,6;1;52,7
64,1;0;46,2
58,8;1;51,6
45,2;1;44,3
60,2;0;33,6
65,9;0;39,0
54,4;0;31,2
50,9;0;35,2
55,6;0;33,9
59,9;0;33,0
81,6;0;41,0
56,5;1;45,2
49,8;0;30,5
69,8;0;36,8
67,3;1;57,1
62,9;0;32,3
65,5;1;58,8
55,9;0;32,4
50,7;0;39,4
60,1;0;33,9
72,6;0;36,1
